Music_Title,Drum_Kick,Drum_Snare,Drum_HiHat,Drum_Cymbals,Drum_Overheads,Drum_Tom,Drum_Room,Percussion,Bass,Acoustic_Guitar,Electric_Guitar,Piano,Electric_Piano,Brass,String,WoodWind,Other,Lead_Vocal,Backing_Vocal,Unused,Vocal_Quality
Access Denied,['01_Kick.wav'],['02_Snare.wav'],[],[],['05_Overheads.wav'],"['03_Tom1.wav', '04_Tom2.wav']",[],[],['06_Bass.wav'],[],"['07_ElecGtr1.wav', '08_ElecGtr2.wav', '09_ElecGtr2DT.wav']",[],[],[],[],[],"['10_Synth01.wav', '11_Synth02.wav', '12_Synth03.wav', '13_Synth04.wav', '14_Synth05.wav', '15_Synth06.wav', '16_Synth07.wav', '17_Synth08.wav', '18_Synth09.wav', '19_Synth10.wav', '20_Synth11.wav', '21_Synth12.wav']","['22_LeadVox1.wav', '23_LeadVox2.wav']","['24_BackingVox1.wav', '25_BackingVox1DT.wav', '26_BackingVox2.wav', '27_BackingVox2DT.wav']",[],1
Ae Mere Humsafar,['01_Kick.wav'],['03_Snare.wav'],['04_HiHat.wav'],['06_RevCymbal.wav'],[],[],[],"['02_Clap.wav', '05_Shaker.wav']",['08_Bass.wav'],"['09_AcousticGtr1.wav', '10_AcousticGtr2.wav', '11_AcousticGtr3.wav']",[],"['12_Piano1.wav', '13_Piano2.wav']",[],[],"['15_Strings1.wav', '16_Strings2.wav', '17_Strings3.wav', '18_Viola.wav']",[],"['07_SFX.wav', '14_PianoAndStrings.wav', '19_Synth.wav']",['20_LeadVox.wav'],"['21_BackingVox1.wav', '22_BackingVox2.wav']",[],1
Aeternum Vale,"['01_Kick01.wav', '02_Kick02.wav', '03_Kick03.wav', '04_Kick04.wav']","['05_Snare01.wav', '06_Snare02.wav', '07_Snare03.wav', '08_Snare04.wav']",['09_HiHat.wav'],"['10_Ride.wav', '15_Cymbal01.wav', '16_Cymbal02.wav', '17_Cymbal03.wav', '18_Cymbal04.wav']",[],"['11_Tom1.wav', '12_Tom2.wav', '13_Tom3.wav', '14_Tom4.wav']",[],"['19_Percussion.wav', '20_Timpani.wav']",['27_BassDI.wav'],[],"['28_ElecGtr01.wav', '29_ElecGtr01DI.wav', '30_ElecGtr02.wav', '31_ElecGtr02DI.wav', '32_ElecGtr03.wav', '33_ElecGtr03DI.wav', '34_ElecGtr03DT.wav', '35_ElecGtr03DTDI.wav', '36_ElecGtr04.wav', '37_ElecGtr04DI.wav', '38_ElecGtr04DT.wav', '39_ElecGtr04DTDI.wav']",['22_Piano.wav'],[],"['44_Trombones.wav', '45_FrenchHorns.wav']","['40_Strings.wav', '41_Violins.wav', '42_Violas.wav', '43_Cellos.wav']",[],"['21_TubularBells.wav', '23_SFX01.wav', '24_SFX02.wav', '25_SFX03.wav', '26_SFX04.wav']","['47_Vocal_Soprano.wav', '48_Vocal_Alto.wav', '49_Vocal_Bass.wav']",['46_Vox_Choir.wav'],[],1
Africa,[],[],[],['05_Cymbals.wav'],['01_DrumLoop.wav'],[],[],"['02_Djembe.wav', '03_Percussion.wav', '04_Cowbell.wav']",['06_Bass.wav'],[],"['09_Guitar.wav', '10_GuitarMarimba.wav']",['07_Piano.wav'],[],"['13_Trombones.wav', '14_Trumpets.wav']",['12_StringsChoir.wav'],['08_Flute.wav'],['11_Synth.wav'],['15_Vox.wav'],[],[],1
Afterglow,[],[],[],['08_RevCymb.wav'],"['01_Drum1.wav', '02_Drum2.wav', '03_Drum3.wav', '04_Drum4.wav']",[],[],"['05_Clap.wav', '06_Percussion.wav', '07_Tambourine.wav']",['09_Bass.wav'],[],[],"['10_PianoLo.wav', '11_PianoMid.wav', '12_PianoHi.wav']",[],[],['16_Strings.wav'],['14_Flute.wav'],"['15_Pad.wav', '17_Didgeridoo.wav', '18_Radio.wav', '19_SFX1.wav', '20_SFX2.wav', '21_SFX3.wav', '22_SFX4.wav', '23_SFX5.wav', '24_SFX6.wav', '25_SFX7.wav']","['26_LeadVox.wav', '27_LeadVoxDT.wav']","['13_Choir.wav', '28_BackingVox1.wav', '29_BackingVox2.wav', '30_BackingVox3.wav', '31_BackingVox4.wav']",[],1
Aiguille Rouge,"['01_Kick.wav', '02_KickSub.wav']",['03_Snare.wav'],['04_HiHat.wav'],"['09_Cymbal1.wav', '10_Cymbal2.wav']",[],[],[],"['05_Clap1.wav', '06_Clap2.wav', '07_Taiko.wav', '08_SteelTongueDrum.wav', '11_Shaker1.wav', '12_Shaker2.wav', '13_Percussion1.wav', '14_Percussion2.wav', '15_Percussion3.wav']",['22_Bass.wav'],[],[],[],[],[],[],[],"['16_SFX1.wav', '17_SFX2.wav', '18_SFX3.wav', '19_Glitch1.wav', '20_Glitch2.wav', '21_TapeHiss.wav', '23_Synth1.wav', '24_Synth2.wav', '25_Synth3.wav', '26_Synth4.wav', '27_Synth5.wav', '28_Synth6.wav']",[],[],[],0
Air,[],[],[],[],[],[],[],[],"['02_BassMic1_SpotMic.wav', '03_BassMic2_PeerArray.wav']",[],[],[],[],"['04_SaxMic1_SpotMic.wav', '05_SaxMic2_PeerArray.wav']",[],[],[],[],[],"['01_MainPair_DominantArray.wav', '06_Room_Stereo.wav', '07_Room_Mono1.wav', '08_Room_Mono2.wav']",0
Alex The Adventurer,[],['05_SnareDrum.wav'],[],['06_Cymbals.wav'],[],[],[],"['02_OutroHit.wav', '03_TimpaniHits.wav', '04_TimpaniRolls.wav']",['01_BassDrum.wav'],[],[],['09_Piano.wav'],[],"['20_BrassStaccatoHi.wav', '21_BrassStaccatoLo.wav', '22_BrassCrescendo.wav', '23_Tuba.wav', '24_Trombones.wav', '25_Horns.wav', '26_Horns.wav', '27_Trumpets.wav']","['13_Basses.wav', '14_CellosAndBassesSpiccato.wav', '15_CellosLegatoAndTrills.wav', '16_ViolasStaccato.wav', '17_ViolasTrills.wav', '18_ViolinsLegato.wav', '19_ViolinsStaccato.wav']","['28_WoodwindStaccato.wav', '29_WoodwindRuns.wav', '30_ContraBassoon.wav', '31_Bassoon.wav', '32_Clarinet.wav', '33_Oboes.wav', '34_Flutes.wav', '35_Piccolo.wav']","['07_TriangleAndChimes.wav', '08_Bells.wav', '10_Harp.wav', '11_Xylophone.wav', '12_Glockenspiel.wav']",[],[],[],0
Alive (Yet Free),['01_Kick.wav'],['02_Snare.wav'],['06_HiHat.wav'],[],"['07_DrumsSLR.wav', '08_Overheads.wav']","['03_Tom1.wav', '04_Tom2.wav', '05_Tom3.wav']","['09_DrumsRoom1.wav', '10_DrumsRoom2.wav']",['11_Loop.wav'],['12_Bass.wav'],[],"['13_ElecGtr1DI.wav', '14_ElecGtr2DI.wav', '15_ElecGtr2DTDI.wav', '16_ElecGtr3DI.wav', '17_ElecGtr4DI.wav']",[],[],[],[],[],"['18_Synth1.wav', '19_Synth2.wav']","['20_LeadVox1.wav', '21_LeadVox2.wav']","['22_BackingVox1.wav', '23_BackingVox2.wav', '24_BackingVox3.wav', '25_BackingVox4.wav', '26_BackingVox5.wav', '27_BackingVox6.wav', '28_BackingVox7.wav', '29_BackingVox8.wav', '30_BackingVox9.wav']",[],1
All American Mutt,"['Drums-Kick in-M82.wav', 'Drums-Kick Out-CU29.wav']","['Drums-Snare Bottom-M80.wav', 'Drums-Snare Top-M80.wav']",[],[],['Drums-Overhead-AR51.wav'],"['Drums-Rack-M81.wav', 'Drums-Floor-M81.wav']",['Drums-Chamber-M60.wav'],[],['Bass-DI.wav'],['Aco Guitar-ELA M 260.wav'],"['ElE Guitar-Con-AK47.wav', 'ELE Guitar-Dyn-M81.wav']",[],[],[],[],[],[],['Vox-Jamie-M80.wav'],"['Vox-Bass-M81.wav', 'Vox-Guitar-M81.wav', 'Vox-oooooo-M81.wav']",[],0
All I Know,['01_Kick.wav'],['02_Snare.wav'],['03_HiHat.wav'],[],['04_Drums.wav'],[],[],['05_Percussion.wav'],['06_Bass.wav'],[],"['07_ElecGtr1.wav', '08_ElecGtr2.wav', '09_ElecGtr3.wav', '10_ElecGtr3DT.wav']","['11_BellPiano.wav', '12_PianoSynth.wav']",[],[],[],[],"['13_Radio.wav', '14_Speech.wav']",['15_Vox1.wav'],"['16_Vox2.wav', '17_Vox3.wav', '18_Vox4.wav', '19_Vox5.wav']",[],1
All Souls Moon,['01_Kick.wav'],"['02_SnareUp.wav', '03_SnareDown.wav']",[],[],['04_Overheads.wav'],[],[],['05_Shaker.wav'],"['06_Bass1.wav', '07_Bass2.wav']","['08_AcousticGtr1.wav', '09_AcousticGtr2.wav']",[],[],"['10_ElecPiano.wav', '11_Wurlitzer.wav']",[],"['12_Violin1.wav', '13_Violin2.wav']",[],[],['14_LeadVox.wav'],"['15_BackingVox1.wav', '16_BackingVox2.wav']",[],1
All The Gin Is Gone,"['01_KickIn.wav', '02_KickOut.wav']","['03_SnareUp.wav', '04_SnareDown.wav']",['05_HiHat.wav'],[],['09_Overheads.wav'],"['06_Tom1.wav', '07_Tom2.wav', '08_Tom3.wav']",[],[],"['10_BassMic.wav', '11_BassDI.wav']",[],[],"['12_PianoMics1.wav', '13_PianoMics2.wav']",[],"['14_Trumpet.wav', '15_Trombone.wav', '16_Saxophone.wav']",[],[],[],[],[],[],0
All The Same,['01_Kick.wav'],"['02_Snare1.wav', '03_Snare2.wav']",[],"['04_Cymbals1.wav', '05_Cymbals2.wav']",[],[],[],[],['06_Bass.wav'],[],"['07_ElecGtr01.wav', '08_ElecGtr02.wav', '09_ElecGtr03.wav', '10_ElecGtr04.wav', '11_ElecGtr05.wav', '12_ElecGtr06.wav', '13_ElecGtr07.wav', '14_ElecGtr08.wav', '15_ElecGtr09.wav', '16_ElecGtr10.wav', '17_ElecGtr11.wav', '18_ElecGtr12.wav', '19_ElecGtr13.wav', '20_ElecGtr14.wav', '21_ElecGtr15.wav', '22_ElecGtr12DI.wav', '23_ElecGtr13DI.wav', '24_ElecGtr14DI.wav', '25_ElecGtr15DI.wav', '26_ElecGtr16.wav', '27_ElecGtr17.wav', '28_ElecGtr18.wav']",[],[],[],[],[],[],"['29_LeadVox1.wav', '30_LeadVox1DT.wav', '31_LeadVox2.wav', '32_LeadVox2DT1.wav', '33_LeadVox2DT2.wav', '34_LeadVox2DT3.wav']",[],[],1
Alone With You,['01_Kick.wav'],['02_Snare.wav'],[],[],['03_Overheads.wav'],"['04_Tom1.wav', '05_Tom2.wav', '06_Tom3.wav', '07_Tom4.wav']",[],[],['08_Bass.wav'],"['09_AcousticGtr1.wav', '10_AcousticGtr2.wav']","['11_ElecGtr1.wav', '12_ElecGtr2.wav']",[],[],[],[],[],[],['13_LeadVox.wav'],"['14_BackingVox1.wav', '15_BackingVox2.wav']",[],1
Alright,[],[],[],['02_Cymbals.wav'],['01_Drums.wav'],[],[],['03_Percussion.wav'],"['04_Bass1.wav', '05_Bass2.wav']",[],['06_Guitar.wav'],[],[],[],['08_Strings.wav'],[],['07_SynthsAndSFX.wav'],[],"['09_VerseVox1.wav', '10_VerseVox2.wav', '11_VerseVox3.wav', '12_VerseVox4.wav', '13_VerseVox5.wav', '14_VerseVox6.wav', '15_ChorusVox1.wav', '16_ChorusVox2.wav']",[],1
Amalgamize,[],[],['01_HiHat.wav'],[],[],[],[],[],"['02_Bass1.wav', '03_Bass2.wav', '04_Bass3.wav', '05_Bass4.wav']",[],[],[],['19_Organ.wav'],[],[],[],"['06_Synth1.wav', '07_Synth2.wav', '08_Synth3.wav', '09_Synth4.wav', '10_Synth5.wav', '11_Synth6.wav', '12_Synth7.wav', '13_Synth8.wav', '14_SynthSFX1.wav', '15_SynthSFX2.wav', '16_SynthSFX3.wav', '17_SynthSFX4.wav', '18_SynthSFX5.wav', '20_SynthLead1.wav', '21_SynthLead2.wav', '22_SynthLead3.wav', '23_SynthLead4.wav', '24_SynthLead5.wav', '25_SynthLead6.wav', '26_SynthLead7.wav', '27_SynthLead8.wav']",[],[],[],0
Ambitions,['Kick Drum.wav'],"['Snare Bottom.wav', 'Snare Top.wav']",['Hi-Hat.wav'],['Ride.wav'],"['Overhead Left.wav', 'Overhead Right.wav']","['Tom 1.wav', 'Tom 2.wav', 'Tom 3.wav', 'Tom 4.wav']",['Drum Room.wav'],[],"['Bass DI.wav', 'Bass Mic.wav']",[],"['Guitar 1.wav', 'Guitar 2.wav', 'Guitar 3.wav', 'Guitar 4.wav']",[],[],[],[],[],[],"['Vocal 1.wav', 'Vocal 2.wav']",[],[],1
An Nasc Nua,[],[],[],[],[],[],[],[],['01_Bass.wav'],"['02_AcousticGtrMic1.wav', '03_AcousticGtrMic2.wav']",[],[],[],[],"['04_Fiddles1Mic1.wav', '05_Fiddles1Mic2.wav', '06_Fiddles2Mic1.wav', '07_Fiddles2Mic2.wav']",[],[],"['08_LeadVox1Mic1.wav', '09_LeadVox1Mic2.wav', '10_LeadVox2Mic1.wav', '11_LeadVox2Mic2.wav', '12_LeadVox2DT.wav', '13_LeadVox3Mic1.wav', '14_LeadVox3Mic2.wav']","['15_BackingVox1.wav', '16_BackingVox2.wav', '17_BackingVox3.wav', '18_BackingVox4.wav', '19_BackingVox5.wav']",[],1
An Ultra Violet Apology,['01_Kick.wav'],['02_Snare.wav'],[],[],['05_Overheads.wav'],"['03_Tom1.wav', '04_Tom2.wav']",['06_DrumsRoom.wav'],['08_Shaker.wav'],"['09_BassDI1.wav', '10_BassDI2.wav']",[],"['11_ElecGtr1a.wav', '12_ElecGtr1b.wav', '13_ElecGtr2.wav', '14_ElecGtr3.wav', '15_ElecGtr4.wav', '16_ElecGtr5.wav', '17_ElecGtr6.wav', '18_ElecGtr7.wav']",[],[],[],[],[],['07_Bells.wav'],"['19_LeadVox.wav', '20_LeadVoxSFX.wav']",[],[],1
Ancora Qui,['01_Kick.wav'],[],"['04_Hat1.wav', '05_Hat2.wav', '06_Hat3.wav']",[],[],[],[],"['02_Clap1.wav', '03_Clap2.wav']","['10_Bass1.wav', '11_Bass2.wav', '12_Bass3.wav']",[],"['13_ElecGtr1.wav', '14_ElecGtr2.wav', '15_ElecGtrSFX.wav']",['21_Piano.wav'],[],[],[],[],"['07_SFX1.wav', '08_SFX2.wav', '09_SFX3.wav', '16_Synth1.wav', '17_Synth2.wav', '18_Synth3.wav', '19_Synth4.wav', '20_Synth5.wav']","['22_LeadVox1.wav', '23_LeadVox1DT.wav', '24_LeadVox2.wav', '25_LeadVox2DT1.wav', '26_LeadVox2DT2.wav']","['27_BackingVox1.wav', '28_BackingVox2.wav', '29_BackingVox3.wav', '30_BackingVox4.wav', '31_BackingVox5.wav', '32_BackingVox6.wav', '33_BackingVox6DT1.wav', '34_BackingVox6DT2.wav', '35_BackingVox6DT3.wav', '36_BackingVox7.wav', '37_BackingVox7DT1.wav', '38_BackingVox7DT2.wav', '39_BackingVox7DT3.wav', '40_BackingVox8.wav', '41_BackingVox8DT1.wav', '42_BackingVox8DT2.wav', '43_BackingVox8DT3.wav', '44_VoxSFX.wav']",[],1
Angelsaint,[],[],[],[],['01_Drums.wav'],[],[],[],['02_Bass.wav'],[],[],[],[],[],"['03_ViolinDI1.wav', '04_ViolinDI2.wav', '05_ViolinDI3.wav', '06_ViolinDI4.wav', '07_ViolaSoloRaw.wav', '08_ViolaSoloDist.wav']",[],"['09_Synth1.wav', '10_Synth2.wav', '11_SFX.wav']","['12_LeadVox.wav', '13_LeadDouble.wav']",['14_BackingVox.wav'],[],1
Animals,['01_Kick.wav'],['02_Snare.wav'],[],[],"['05_OverheadMono.wav', '06_OverheadsStereo.wav']","['03_Tom1.wav', '04_Tom2.wav']",['07_DrumsRoom.wav'],[],['08_BassDI.wav'],[],"['09_ElecGtrMic1.wav', '10_ElecGtrMic2.wav']",[],[],[],[],[],[],"['11_LeadVox.wav', '12_LeadVoxDT.wav']","['13_BackingVox1.wav', '14_BackingVox2.wav', '15_BackingVox3.wav']",[],1
